﻿year,region,energy_cost,size_estabish,value,unit,source
2560,ทั่วประเทศ,ค่าพาหนะและค่าที่พักที่ใช้เฉพาะเพื่อกิจการ,รวม,350854.05,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าพาหนะและค่าที่พักที่ใช้เฉพาะเพื่อกิจการ,1 - 15 คน,13465.77,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าพาหนะและค่าที่พักที่ใช้เฉพาะเพื่อกิจการ,16 - 25 คน,5221.86,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าพาหนะและค่าที่พักที่ใช้เฉพาะเพื่อกิจการ,26 - 30 คน,1030.77,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าพาหนะและค่าที่พักที่ใช้เฉพาะเพื่อกิจการ,31 - 50 คน,17501.34,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าพาหนะและค่าที่พักที่ใช้เฉพาะเพื่อกิจการ,51 - 200 คน,85439.95,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าพาหนะและค่าที่พักที่ใช้เฉพาะเพื่อกิจการ,มากกว่า 200 คน,228194.36,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าธรรมเนียมใบอนุญาต,รวม,483133.63,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าธรรมเนียมใบอนุญาต,1 - 15 คน,113838.92,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าธรรมเนียมใบอนุญาต,16 - 25 คน,21096.53,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าธรรมเนียมใบอนุญาต,26 - 30 คน,12447.21,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าธรรมเนียมใบอนุญาต,31 - 50 คน,26263.44,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าธรรมเนียมใบอนุญาต,51 - 200 คน,201985.08,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าธรรมเนียมใบอนุญาต,มากกว่า 200 คน,107502.45,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าบำรุงการกุศล,รวม,118452.01,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าบำรุงการกุศล,1 - 15 คน,33491.16,พันบาท,สำนักงานสถิติแห่งชาติ
2560,ทั่วประเทศ,ค่าบำรุงการกุศล,16 - 25 คน,6736.54,พันบาท,สำนักงานสถิติแห่งชาติ
